position,velocity,acceleration,jerk,heading,dt,x,y,
-18.90131,2.73076,-1.2027,0.88478,-1.72609,0.05,24.78538,20.23091, false
-18.76749,2.67641,-1.08694,2.31519,-1.71125,0.05,24.76564,20.09856, false
-18.63591,2.63152,-0.8978,3.78265,-1.69435,0.05,24.7483,19.96813, false
-18.50592,2.59979,-0.63467,5.26263,-1.67599,0.05,24.73345,19.83899, false
-18.37668,2.58484,-0.29904,6.71266,-1.65696,0.05,24.7211,19.71034, false
-18.24718,2.5901,0.10516,8.08405,-1.63816,0.05,24.71118,19.58122, false
-18.12943,2.35483,-4.70532,-96.20961,-1.62233,0.05,24.7042,19.46368, false
-18.02304,2.12794,-4.53773,3.35168,-1.60985,0.05,24.6994,19.35739, false
-17.928,1.90066,-4.54574,-0.16022,-1.60071,0.05,24.69614,19.26242, false
-17.8447,1.66616,-4.68984,-2.88194,-1.59457,0.05,24.69392,19.17914, false
-17.7737,1.4199,-4.92524,-4.70791,-1.5909,0.05,24.69237,19.10816, false
-17.71572,1.15956,-5.2068,-5.63121,-1.58904,0.05,24.69126,19.05019, false
-17.67147,0.88496,-5.49197,-5.70345,-1.58835,0.05,24.69047,19.00595, false
-17.6514,0.40157,-9.66794,-83.51931,-1.58825,0.05,24.69012,18.98588, false
-17.63643,0.29927,-2.04602,152.43823,-1.58829,0.05,24.69038,19.00084, false
-17.63643,0,-5.98533,-78.78616,-1.58829,0.05,24.69038,19.00084, false
-17.63643,0,0,119.70663,-1.58829,0.05,24.69038,19.00084, false
-17.63643,0,0,0,-1.58829,0.05,24.69038,19.00084, true
-17.65135,-0.29837,-5.96739,-119.34778,-1.58836,0.05,24.69064,19.01575, true
-17.68105,-0.594,-5.9126,1.09583,-1.58864,0.05,24.69117,19.04545, true
-17.72525,-0.88397,-5.79936,2.26474,-1.58937,0.05,24.69197,19.08964, true
-17.7835,-1.16497,-5.62014,3.58445,-1.59098,0.05,24.6931,19.14788, true
-17.85515,-1.43311,-5.36281,5.14655,-1.59404,0.05,24.69464,19.21952, true
-17.93933,-1.68357,-5.00906,7.07494,-1.59938,0.05,24.69681,19.30367, true
-18.03484,-1.91013,-4.53115,9.55831,-1.60809,0.05,24.69993,19.39912, true
-18.14006,-2.10443,-3.88605,12.902,-1.62165,0.05,24.70453,19.50424, true
-18.2528,-2.25472,-3.00585,17.604,-1.64207,0.05,24.71134,19.61677, true
-18.36999,-2.34389,-1.78345,24.44802,-1.67215,0.05,24.72134,19.73354, true
-18.48733,-2.34671,-0.05635,34.54184,-1.71587,0.05,24.7356,19.85001, true
-18.59868,-2.22714,2.39132,48.95344,-1.77881,0.05,24.7549,19.95968, true
-18.69573,-1.94102,5.72253,66.6243,-1.86863,0.05,24.7788,20.05374, true
-18.76887,-1.46276,9.56521,76.85351,-1.99413,0.05,24.8041,20.12236, true
-18.81267,-0.8759,11.73709,43.43769,-2.16029,0.05,24.82487,20.16092, true
-18.83717,-0.49015,7.71509,-80.44001,-2.3508,0.05,24.84028,20.17998, true
-18.86793,-0.61504,-2.4978,-204.2578,-2.52182,0.05,24.86391,20.19965, true
-18.92205,-1.08246,-9.34841,-137.01231,-2.65765,0.05,24.91024,20.22763, true
-18.99957,-1.55048,-9.3605,-0.24176,-2.75826,0.05,24.98075,20.25986, true
-19.09322,-1.87292,-6.44881,58.23378,-2.83033,0.05,25.06889,20.29149, true
-19.19523,-2.04021,-3.34571,62.06197,-2.88097,0.05,25.16681,20.32009, true
-19.29944,-2.08427,-0.88122,49.2899,-2.91585,0.05,25.26799,20.34507, true
-19.40134,-2.03783,0.92873,36.19901,-2.9391,0.05,25.36757,20.36665, true
-19.49759,-1.92506,2.25541,26.53363,-2.95376,0.05,25.462,20.38526, true
-19.58569,-1.76203,3.26066,20.10495,-2.96214,0.05,25.54863,20.40132, true
-19.66365,-1.55909,4.05877,15.96213,-2.96607,0.05,25.62536,20.41507, true
-19.72737,-1.27442,5.69343,32.69335,-2.96706,0.05,25.68811,20.42615, true
-19.77966,-1.04596,4.56923,-22.48405,-2.96711,0.05,25.63661,20.41707, true
-19.81701,-0.747,5.97928,28.20094,-2.96722,0.05,25.59983,20.41059, true
-19.83935,-0.44664,6.00714,0.55719,-2.9673,0.05,25.57783,20.40672, true
-19.83935,0,8.93276,58.51247,-2.96733,0.05,25.57067,20.40545, true
-19.83935,0,0,-178.65524,-2.96733,0.05,25.57067,20.40545, true
-19.83935,0,0,0,-2.96733,0.05,25.57067,20.40545, false
-19.82427,0.30158,6.03155,120.63092,-2.96741,0.05,25.55582,20.40284, false
-19.79408,0.6037,6.04241,0.2172,-2.96758,0.05,25.52609,20.39761, false
-19.74874,0.90689,6.06388,0.42949,-2.96789,0.05,25.48143,20.38977, false
-19.68815,1.21167,6.09549,0.63221,-2.96843,0.05,25.42175,20.37931, false
-19.61223,1.51849,6.13655,0.82125,-2.96928,0.05,25.34696,20.36626, false
-19.52084,1.8278,6.18621,0.99315,-2.97055,0.05,25.25691,20.35065, false
-19.41384,2.13998,6.24347,1.14522,-2.97238,0.05,25.15146,20.33253, false
-19.29107,2.45534,6.30725,1.27549,-2.97492,0.05,25.03042,20.312, false
-19.15237,2.77416,6.37637,1.38252,-2.97832,0.05,24.8936,20.28922, false
-18.99753,3.09664,6.44963,1.46517,-2.98276,0.05,24.74077,20.26438, false
-18.82639,3.42293,6.52574,1.52209,-2.98839,0.05,24.5717,20.23778, false
-18.63873,3.75309,6.6033,1.55127,-2.99542,0.05,24.38615,20.20978, false
-18.43438,4.08713,6.68077,1.54941,-3.004,0.05,24.18385,20.18086, false
-18.21313,4.42495,6.75634,1.51133,-3.01432,0.05,23.96454,20.15163, false
-17.97481,4.76634,6.8278,1.42938,-3.02653,0.05,23.72797,20.1228, false
-17.71926,5.11096,6.89246,1.2931,-3.0408,0.05,23.47392,20.09525, false
-17.44635,5.45831,6.94692,1.0892,-3.05723,0.05,23.20217,20.06999, false
-17.15597,5.80766,6.98703,0.80219,-3.07593,0.05,22.91261,20.0482, false
-16.84806,6.15805,7.00783,0.41597,-3.09695,0.05,22.60518,20.0312, false
-16.52265,6.50823,7.00366,-0.0833,-3.12026,0.05,22.27994,20.02044, false
-16.17982,6.85666,6.96851,-0.70299,3.13739,0.05,21.93712,20.01748, false
-15.81974,7.20149,6.89658,-1.4386,3.10979,0.05,21.57711,20.02395, false
-15.44271,7.54065,6.78318,-2.26816,3.08039,0.05,21.20048,20.04146, false
-15.04911,7.87193,6.62576,-3.14829,3.04956,0.05,20.80804,20.07159, false
-14.63946,8.19319,6.42505,-4.01423,3.01776,0.05,20.40076,20.11574, false
-14.21433,8.50247,6.18576,-4.78585,2.98552,0.05,19.9798,20.17508, false
-13.77442,8.79831,5.91675,-5.38017,2.95348,0.05,19.5464,20.25047, false
-13.32042,9.07983,5.63036,-5.72769,2.92228,0.05,19.10181,20.34239, false
-12.85308,9.34688,5.34098,-5.78763,2.8926,0.05,18.64724,20.45093, false
-12.37308,9.60004,5.06319,-5.55594,2.86506,0.05,18.18375,20.57573, false
-11.88105,9.84054,4.81007,-5.0623,2.84026,0.05,17.71216,20.71606, false
-11.37754,10.07015,4.59223,-4.35673,2.81869,0.05,17.23303,20.87083, false
-10.86299,10.29104,4.41774,-3.48995,2.80075,0.05,16.74661,21.03865, false
-10.3481,10.29785,0.13621,-85.63048,2.78696,0.05,16.2626,21.21428, false
-9.83771,10.20777,-1.8017,-38.75818,2.77731,0.05,15.78489,21.39397, false
-9.33149,10.12448,-1.6658,2.718,2.77147,0.05,15.31247,21.57585, false
-8.82899,10.04995,-1.49055,3.50487,2.76906,0.05,14.84426,21.75831, false
-8.32968,9.9862,-1.27502,4.31064,2.76957,0.05,14.3792,21.94003, false
-7.83291,9.9354,-1.01591,5.18229,2.7724,0.05,13.91618,22.12003, false
-7.33791,9.89997,-0.70867,6.14464,2.77687,0.05,13.45416,22.29767, false
-6.84378,9.88253,-0.34873,7.19877,2.78213,0.05,12.99208,22.47272, false
-6.34949,9.8859,0.06741,8.32289,2.78724,0.05,12.52892,22.64539, false
-5.85384,9.91296,0.54117,9.47519,2.79111,0.05,12.06371,22.8164, false
-5.35551,9.9667,1.07482,10.67297,2.79251,0.05,11.59551,22.98706, false
-5.35551,9.98,-199.33405,-4008.17742,2.79251,0.05,11.59551,22.98706, false
-4.85151,10.07993,201.59856,8018.65228,2.78884,0.05,11.12214,23.16008, false
-4.34289,10.17237,1.84881,-3994.99512,2.78094,0.05,10.6455,23.33758, false
-3.83271,10.20362,0.62513,-24.4736,2.7716,0.05,10.16898,23.51984, false
-3.32356,10.18305,-0.41143,-20.73115,2.7632,0.05,9.69509,23.70602, false
-2.83267,9.81766,-7.30788,-137.92891,2.7578,0.05,9.23948,23.88873, false
-2.36126,9.42829,-7.78747,-9.59175,2.75651,0.05,8.80254,24.06569, false
-1.90994,9.0265,-8.03565,-4.96376,2.75988,0.05,8.38405,24.23469, false
-1.47888,8.62112,-8.10774,-1.44171,2.76808,0.05,7.98343,24.3938, false
-1.06794,8.21882,-8.04583,1.23819,2.78097,0.05,7.59993,24.54144, false
-0.6767,7.82479,-7.88076,3.30141,2.79818,0.05,7.23274,24.67649, false
-0.30455,7.443,-7.63577,4.89988,2.81913,0.05,6.88107,24.79825, false
0.04928,7.07647,-7.33049,6.10542,2.84313,0.05,6.5442,24.90645, false
0.38564,6.72727,-6.98417,6.92655,2.86939,0.05,6.22146,25.00121, false
0.70546,6.39641,-6.61716,7.34014,2.89706,0.05,5.91227,25.08299, false
1.00965,6.08387,-6.25078,7.32758,2.92531,0.05,5.61612,25.15249, false
1.29908,5.78859,-5.9056,6.90359,2.95335,0.05,5.3326,25.21066, false
1.57451,5.50863,-5.59918,6.12849,2.98046,0.05,5.06136,25.25853, false
1.83658,5.24142,-5.3441,5.10151,3.00607,0.05,4.80216,25.29725, false
2.08579,4.98407,-5.14707,3.94063,3.02973,0.05,4.55486,25.32798, false
2.32247,4.73361,-5.00913,2.75875,3.05111,0.05,4.31939,25.35186, false
2.54683,4.48727,-4.92686,1.64552,3.07004,0.05,4.09576,25.36998, false
2.75896,4.24258,-4.8939,0.65916,3.08643,0.05,3.88405,25.38339, false
2.95883,3.99745,-4.90252,-0.17249,3.1003,0.05,3.68441,25.393, false
3.14634,3.75021,-4.94477,-0.84503,3.11176,0.05,3.49702,25.39964, false
3.32132,3.49955,-5.0132,-1.36862,3.12095,0.05,3.3221,25.40403, false
3.48355,3.24449,-5.10121,-1.76011,3.12808,0.05,3.1599,25.40678, false
3.63276,2.98434,-5.20307,-2.0372,3.13339,0.05,3.01069,25.40839, false
3.7687,2.71865,-5.31383,-2.21517,3.13712,0.05,2.87476,25.40924, false
3.89106,2.44719,-5.4291,-2.30547,3.13954,0.05,2.7524,25.40963, false
3.99955,2.16995,-5.5449,-2.31588,3.14092,0.05,2.6439,25.40977, false
4.09391,1.88707,-5.65747,-2.25146,3.14151,0.05,2.54955,25.4098, false
4.14345,0.99096,-17.92229,-245.29645,3.14159,0.05,2.5,25.4098, false
4.14345,0,-19.81918,-37.93773,3.14159,0.05,2.5,25.4098, false
4.14345,0,0,396.38355,3.14159,0.05,2.5,25.4098, false
4.14345,0,0,0,3.14159,0.05,2.5,25.4098, false
4.14345,0,0,0,3.14159,0.05,2.5,25.4098, false
4.14345,0,0,0,3.14159,0.05,2.5,25.4098, false
4.14345,0,0,0,3.14159,0.05,2.5,25.4098, false
