position,velocity,acceleration,jerk,heading,dt,x,y,
-19.9345,4.8562,0.69115,-57.27209,-1.88627,0.05,21.26762,21.8837, false
-19.69121,4.86568,0.18955,-10.03188,-1.84655,0.05,21.19675,21.65097, false
-19.44865,4.85126,-0.2884,-9.55893,-1.8075,0.05,21.13529,21.41632, false
-19.20788,4.81535,-0.71819,-8.59592,-1.77009,0.05,21.08325,21.18124, false
-18.96982,4.76133,-1.0805,-7.24613,-1.73516,0.05,21.04025,20.94709, false
-18.73516,4.6931,-1.36461,-5.68223,-1.70337,0.05,21.00559,20.71501, false
-18.50443,4.61465,-1.569,-4.08781,-1.67517,0.05,20.97839,20.48589, false
-18.27794,4.52967,-1.69948,-2.60958,-1.65087,0.05,20.95759,20.26036, false
-18.07238,4.11136,-8.36615,-133.33351,-1.632,0.05,20.94314,20.0553, false
-17.88684,3.7108,-8.01121,7.09881,-1.61775,0.05,20.93315,19.87003, false
-17.72044,3.32783,-7.65939,7.0365,-1.6073,0.05,20.92624,19.70378, false
-17.57238,2.96125,-7.33178,6.55223,-1.5999,0.05,20.92141,19.5558, false
-17.44192,2.6093,-7.03888,5.85801,-1.59489,0.05,20.91795,19.42538, false
-17.32841,2.27006,-6.78488,5.07996,-1.59168,0.05,20.91541,19.3119, false
-17.23134,1.94154,-6.57033,4.29095,-1.58977,0.05,20.91348,19.21484, false
-17.15024,1.62186,-6.39372,3.5323,-1.58877,0.05,20.91199,19.13377, false
-17.08478,1.30924,-6.2524,2.82638,-1.58834,0.05,20.91083,19.06831, false
-17.03549,0.98591,-6.46653,-4.28265,-1.58825,0.05,20.90997,19.01903, false
-17.03549,0,-19.71818,-265.03301,-1.58825,0.05,20.90997,19.01903, false
-17.03549,0,0,394.36358,-1.58825,0.05,20.90997,19.01903, false
-17.03549,0,0,0,-1.58825,0.05,20.90997,19.01903, false
-17.03549,0,0,0,-1.58825,0.05,20.90997,19.01903, false
-17.03549,0,0,0,-1.58825,0.05,20.90997,19.01903, false
