timestamp,dt,CAN Time(ms),Left TPos,Right TPos,Left APos,Right APos,Right Target,Left Target,Left Actual,Right Actual,Left Setpoint,Right Setpoint,Heading Diff,Target Heading,Acutal Heading,T %,LX,LY,RX,RY
35.794175,0.0500070000000008,2.118000000002951,7.5,7.5,4.850544403410963,5.0558076509552645,12.0,12.0,9.492452079861602,9.938789356443392,771.5774214195008,758.0007914288652,-5.559999942779541,0.0,,0.038577582611136044,9.5,14.5902,9.5,12.4098
35.843415,0.04999000000000109,2.304000000002304,8.1,8.1,5.2571784222503055,5.685350809668885,12.0,12.0,9.842774942294986,10.198287773060715,778.3887138944086,763.7253886547401,-5.96999979019165,0.0,,0.04139637749772939,10.1,14.5902,10.1,12.4098
35.892649,0.05002100000000098,2.19200000000086,8.7,8.7,5.689762282751379,6.131688086250676,12.0,12.0,10.302087139707643,10.6160802238146,779.2336849231859,759.4963854517453,-6.289999961853027,0.0,,0.04347237927374863,10.7,14.5902,10.7,12.4098
35.9386,0.050028999999994994,1.8820000000019377,9.3,9.3,6.13039059416759,6.55856298158617,12.0,12.0,10.717284606295356,10.821083972942285,784.7654854164795,765.3813340342342,-6.599999904632568,0.0,,0.045629416274456124,11.3,14.5902,11.3,12.4098
35.991111,0.04997300000000138,2.290999999999599,9.9,9.9,6.779655632544128,7.204195042130064,12.0,12.0,10.927478323755386,10.756209368787953,785.2041246495567,761.7696001269396,-6.900000095367432,0.0,,0.04757924060368939,11.9,14.5902,11.9,12.4098
36.041942,0.04997399999999885,1.969000000002552,10.5,10.5,7.455649007832248,7.901207789164189,12.0,12.0,11.090962326224297,11.249256360360864,784.9589017112883,755.9179002659905,-7.199999809265137,0.0,,0.049467678239622136,12.5,14.5902,12.5,12.4098
36.090912,0.05000500000000585,2.788000000002455,11.1,11.1,7.9014672875808065,8.351697040411858,12.0,12.0,11.202546645369747,11.451665125322373,789.7839200172559,761.3260372858052,-7.400000095367432,0.0,,0.050866759114328815,13.1,14.5902,13.1,12.4098
36.141846,0.04999499999999557,2.3289999999960287,11.7,11.7,8.590435583699794,9.054159254194944,12.0,12.0,11.3037510278505,11.584009317797207,790.0357233709104,754.4382486329333,-7.849999904632568,0.0,,0.053712029228530786,13.7,14.5902,13.7,12.4098
36.207367,0.04999800000000221,1.8580000000056884,12.3,12.3,9.292638299066263,9.78698278272226,12.0,12.0,11.638503985286844,11.94990208522763,795.9299118049668,756.4100280246597,-8.359999656677246,0.0,,0.0570671664683048,14.3,14.5902,14.3,12.4098
36.241632,0.05006000000000199,2.060000000000173,12.9,12.9,9.769596388808898,10.26835234554739,12.0,12.0,11.791608051091064,12.082246277702465,794.3349185042113,760.7264579011976,-8.5,0.0,,0.058241271874560865,14.9,14.5902,14.9,12.4098
36.291027,0.05007999999999413,1.6859999999994102,13.5,13.5,10.247332973801388,10.758804352954126,12.0,12.0,11.843507734414528,12.15231085018914,798.9603731415464,753.0509554646451,-8.859999656677246,0.0,,0.0602381182509645,15.5,14.5902,15.5,12.4098
36.342897,0.04987200000000058,3.190000000003579,14.1,14.1,10.965365092581514,11.505121799145542,12.0,12.0,12.084841261868638,12.29762996349484,798.2583183572069,755.671712449767,-9.210000038146973,0.0,,0.06275028220641732,16.1,14.5902,16.1,12.4098
36.393645,0.05000500000000585,1.6740000000012856,14.7,14.7,11.471906001818525,12.003099260634182,12.0,12.0,12.217185454343472,12.445544060966713,802.1766863847331,747.2794684980233,-9.569999694824219,0.0,,0.06469775690777037,16.7,14.5902,16.7,12.4098
36.443446,0.0501249999999942,1.6099999999994452,15.27,15.27,12.202653543012902,12.757461157740734,11.4,11.4,12.357314599316824,12.487063807625484,768.9690679514493,717.5214896769963,-9.789999961853027,0.0,,0.06623751316078512,17.27,14.5902,17.27,12.4098
36.494656,0.04989400000000188,1.7619999999993752,15.81,15.81,12.613439536518118,13.21288087890413,10.8,10.8,11.765658209429331,12.204210533512605,741.7343193299009,667.0260535904449,-12.149999618530273,0.0,,0.08076683445315226,17.81,14.5902,17.81,12.4098
36.5391,0.04997500000000343,2.400000000001512,16.32,16.32,12.865412499053539,13.653249691903724,10.2,10.2,9.347132966555902,11.511349761144357,726.5480876578777,623.444075600579,-15.399999618530273,0.0,,0.10015108020139851,18.32,14.5902,18.32,12.4098
36.596136,0.050046999999999287,3.413999999999362,16.8,16.8,13.508190077014643,14.376990775849434,9.6,9.6,8.597182542531844,11.57881934946486,689.8844891220849,577.6862051456936,-16.600000381469727,0.0,,0.10675099990009299,18.8,14.5902,18.8,12.4098
36.641325,0.04997399999999885,2.536999999996681,17.25,17.25,14.11100489881668,15.071408538717384,9.0,9.0,10.865198703767229,12.224970406841992,650.5253127150936,534.8183094832176,-17.260000228881836,0.0,,0.11007505437059564,19.25,14.5902,19.25,12.4098
36.69927,0.04997099999999932,8.183000000002494,17.67,17.67,14.651021103797325,15.485049014805393,8.4,8.4,9.432767444039618,10.237212535553311,620.160234853533,505.381180946522,-18.520000457763672,0.0,,0.11764313845872802,19.67,14.5902,19.67,12.4098
36.744414,0.050027000000000044,2.6549999999971874,18.06,18.06,15.119934742624823,15.817985483325417,7.8,7.8,9.609226367339396,7.3152603644422785,568.1410611067028,480.0972327163063,-16.75,0.0,,0.10816498609635328,20.06,14.5902,20.06,12.4098
36.791099,0.0499849999999995,2.572000000000685,18.42,18.42,15.63633659169329,16.2282524799974,7.2,7.2,11.840912750248355,8.34287409424687,517.3885149385118,457.3094132036628,-14.100000381469727,0.0,,0.09296948553427974,20.42,14.5902,20.42,12.4098
